name,surname,specialization,weekdays,working_hours,phone,email
Dr. Kayla,Edwards,Cardiology,"['Friday', 'Monday', 'Wednesday']",10:00-17:00,083.800.6180x357,gillmatthew@yahoo.com
Dr. Lori,Moran,Dermatology,"['Thursday', 'Tuesday', 'Wednesday']",9:00-16:00,872-446-9711,jamesclark@jones.com
Dr. Nicholas,Casey,Pediatrics,"['Friday', 'Thursday', 'Monday']",8:00-17:00,830.186.7915x96541,cgalloway@hill.net
Dr. Patrick,Smith,Cardiology,"['Friday', 'Monday', 'Wednesday']",8:00-16:00,+1-105-553-1236,cookjoshua@gmail.com
Dr. Margaret,Thomas,Neurology,"['Wednesday', 'Thursday', 'Tuesday']",10:00-17:00,(012)362-8301x766,yyoung@gmail.com
Dr. Jose,Lewis,Neurology,"['Thursday', 'Tuesday', 'Friday']",9:00-18:00,+1-516-910-5329x6677,josephacosta@ramirez.com
Dr. Miranda,Alvarez,Cardiology,"['Wednesday', 'Friday', 'Tuesday']",9:00-16:00,001-132-105-7771x149,travis60@hotmail.com
Dr. Karen,Mcmahon,Oncology,"['Friday', 'Monday', 'Wednesday']",9:00-18:00,(826)072-9623x9480,kross@gmail.com
Dr. Mitchell,Perry,Dermatology,"['Wednesday', 'Friday', 'Thursday']",9:00-16:00,001-979-677-4294x076,kenneth11@baker-howard.com
Dr. Nicole,Owens,Cardiology,"['Monday', 'Tuesday', 'Wednesday']",9:00-17:00,602.306.3690,fraziertracy@yahoo.com
Dr. Tracey,Foley,Neurology,"['Friday', 'Thursday', 'Wednesday']",9:00-18:00,(796)411-9976,kevin81@conrad.net
Dr. Gary,Roberson,Neurology,"['Tuesday', 'Wednesday', 'Monday']",9:00-18:00,(136)998-1648x240,fmonroe@ford.com
Dr. Christian,Wilson,Neurology,"['Wednesday', 'Monday', 'Tuesday']",9:00-18:00,+1-636-061-7470x256,michael73@edwards-burton.net
Dr. Tasha,Baker,Cardiology,"['Friday', 'Thursday', 'Monday']",10:00-17:00,+1-582-147-2624x72149,dprice@hendrix.com
Dr. Amy,Oneill,Oncology,"['Wednesday', 'Friday', 'Tuesday']",8:00-17:00,(180)952-8914,keith10@gmail.com
Dr. Kristen,Fernandez,Cardiology,"['Tuesday', 'Monday', 'Friday']",9:00-16:00,189.861.2577,snyderwilliam@anderson.com
Dr. Eric,Jensen,Dermatology,"['Wednesday', 'Thursday', 'Friday']",9:00-17:00,136.509.3304x64774,pgarcia@lowe.com
Dr. Lisa,Haynes,Oncology,"['Thursday', 'Tuesday', 'Wednesday']",10:00-16:00,(812)905-5474x9422,lmartin@gmail.com
Dr. Gregory,Harvey,Cardiology,"['Tuesday', 'Monday', 'Thursday']",8:00-17:00,+1-502-384-6227x7796,brandon66@gmail.com
Dr. Erica,Bowen,Dermatology,"['Tuesday', 'Wednesday', 'Thursday']",9:00-18:00,989.738.9102x06031,vmejia@bailey.com
